Accelerator,Platform,Category,Total_Functions,Median_Flagged_Functions,Median_Manually_Analyzed_Functions,Median_VRC,Median_NER,Runs
Google TPU,coral,Relevant Functions,159,13,1,90.00,99.37,10
Google TPU,coral,KD Entry Point,159,15,8,90.00,94.97,10
Google TPU,coral,SMem Handling,159,18,6,90.00,96.55,10
NXP NPU,nxp,Relevant Functions,1273,13,4,85.00,99.69,10
NXP NPU,nxp,KD Entry Point,1273,9,7,65.00,99.45,10
NXP NPU,nxp,SMem Handling,1273,17,7,85.00,99.45,10
TMMA,ti,Relevant Functions,6138,8,6,80.00,99.90,10
TMMA,ti,KD Entry Point,6138,9,6,90.00,99.90,10
TMMA,ti,SMem Handling,6138,17,3,100.00,99.95,10
HAILO NPU,hailo,Relevant Functions,296,8,3,85.00,98.99,10
HAILO NPU,hailo,KD Entry Point,296,19,14,95.00,95.27,10
HAILO NPU,hailo,SMem Handling,296,23,5,100.00,98.48,10
NVIDIA GPU,nvidia,Relevant Functions,7624,29,14,80.00,99.82,10
NVIDIA GPU,nvidia,KD Entry Point,7624,40,20,90.00,99.75,10
NVIDIA GPU,nvidia,SMem Handling,7624,45,28,90.00,99.63,10
AWS INF,aws,Relevant Functions,635,8,5,73.33,99.21,10
AWS INF,aws,KD Entry Point,635,12,8,90.00,98.74,10
AWS INF,aws,SMem Handling,635,18,14,83.33,97.80,10
